,name,emotion
0,Ses03F_impro01_F000,xxx
9,Ses03F_impro01_F001,xxx
18,Ses03F_impro01_F002,neu
27,Ses03F_impro01_F003,fru
36,Ses03F_impro01_F004,fru
45,Ses03F_impro01_F005,fru
54,Ses03F_impro01_F006,fru
63,Ses03F_impro01_F007,fru
72,Ses03F_impro01_F008,fru
81,Ses03F_impro01_F009,fru
90,Ses03F_impro01_F010,xxx
99,Ses03F_impro01_F011,fru
108,Ses03F_impro01_M000,xxx
117,Ses03F_impro01_M001,neu
126,Ses03F_impro01_M002,neu
135,Ses03F_impro01_M003,neu
144,Ses03F_impro01_M004,neu
153,Ses03F_impro01_M005,neu
162,Ses03F_impro01_M006,fru
171,Ses03F_impro01_M007,fru
180,Ses03F_impro01_M008,fru
189,Ses03F_impro01_M009,fru
198,Ses03F_impro01_M010,xxx
207,Ses03F_impro01_M011,xxx
0,Ses03F_impro02_F000,neu
8,Ses03F_impro02_F001,neu
16,Ses03F_impro02_F002,xxx
24,Ses03F_impro02_F003,xxx
32,Ses03F_impro02_F004,xxx
40,Ses03F_impro02_F005,exc
48,Ses03F_impro02_F006,xxx
56,Ses03F_impro02_F007,exc
64,Ses03F_impro02_F008,sad
72,Ses03F_impro02_F009,xxx
80,Ses03F_impro02_F010,sad
88,Ses03F_impro02_F011,sad
96,Ses03F_impro02_F012,sad
104,Ses03F_impro02_F013,xxx
112,Ses03F_impro02_F014,fru
120,Ses03F_impro02_F015,sad
128,Ses03F_impro02_F016,fru
136,Ses03F_impro02_F017,fru
144,Ses03F_impro02_F018,sad
152,Ses03F_impro02_F019,sad
160,Ses03F_impro02_F020,sad
168,Ses03F_impro02_F021,sad
176,Ses03F_impro02_F022,fru
184,Ses03F_impro02_F023,sad
192,Ses03F_impro02_F024,sad
200,Ses03F_impro02_F025,sad
208,Ses03F_impro02_F026,sad
216,Ses03F_impro02_F027,sad
224,Ses03F_impro02_F028,sad
232,Ses03F_impro02_F029,sad
240,Ses03F_impro02_F030,xxx
248,Ses03F_impro02_F031,sad
256,Ses03F_impro02_F032,sad
264,Ses03F_impro02_F033,xxx
272,Ses03F_impro02_F034,sad
280,Ses03F_impro02_F035,sad
288,Ses03F_impro02_F036,sad
296,Ses03F_impro02_F037,sad
304,Ses03F_impro02_F038,sad
312,Ses03F_impro02_F039,sad
320,Ses03F_impro02_F040,sad
328,Ses03F_impro02_F041,sad
336,Ses03F_impro02_F042,sad
344,Ses03F_impro02_F043,sad
352,Ses03F_impro02_M000,neu
360,Ses03F_impro02_M001,hap
368,Ses03F_impro02_M002,xxx
376,Ses03F_impro02_M003,xxx
384,Ses03F_impro02_M004,sur
392,Ses03F_impro02_M005,sur
400,Ses03F_impro02_M006,fru
408,Ses03F_impro02_M007,ang
416,Ses03F_impro02_M008,xxx
424,Ses03F_impro02_M009,fru
432,Ses03F_impro02_M010,fru
440,Ses03F_impro02_M011,fru
448,Ses03F_impro02_M012,fru
456,Ses03F_impro02_M013,xxx
464,Ses03F_impro02_M014,sad
472,Ses03F_impro02_M015,fru
480,Ses03F_impro02_M016,sad
488,Ses03F_impro02_M017,sad
496,Ses03F_impro02_M018,sad
504,Ses03F_impro02_M019,sad
512,Ses03F_impro02_M020,sad
520,Ses03F_impro02_M021,sad
528,Ses03F_impro02_M022,fru
536,Ses03F_impro02_M023,xxx
544,Ses03F_impro02_M024,sad
552,Ses03F_impro02_M025,sad
560,Ses03F_impro02_M026,xxx
568,Ses03F_impro02_M027,ang
576,Ses03F_impro02_M028,sad
584,Ses03F_impro02_M029,sad
592,Ses03F_impro02_M030,xxx
600,Ses03F_impro02_M031,sad
0,Ses03F_impro03_F000,xxx
8,Ses03F_impro03_F001,xxx
16,Ses03F_impro03_F002,xxx
24,Ses03F_impro03_F003,xxx
32,Ses03F_impro03_F004,exc
40,Ses03F_impro03_F005,exc
48,Ses03F_impro03_F006,exc
56,Ses03F_impro03_F007,exc
64,Ses03F_impro03_F008,exc
72,Ses03F_impro03_F009,exc
80,Ses03F_impro03_F010,xxx
88,Ses03F_impro03_F011,exc
96,Ses03F_impro03_F012,exc
104,Ses03F_impro03_F013,exc
112,Ses03F_impro03_F014,hap
120,Ses03F_impro03_F015,hap
128,Ses03F_impro03_F016,exc
136,Ses03F_impro03_F017,exc
144,Ses03F_impro03_F018,hap
152,Ses03F_impro03_F019,hap
160,Ses03F_impro03_F020,hap
168,Ses03F_impro03_F021,hap
176,Ses03F_impro03_F022,xxx
184,Ses03F_impro03_F023,xxx
192,Ses03F_impro03_F024,exc
200,Ses03F_impro03_M000,exc
208,Ses03F_impro03_M001,exc
216,Ses03F_impro03_M002,exc
224,Ses03F_impro03_M003,xxx
232,Ses03F_impro03_M004,xxx
240,Ses03F_impro03_M005,exc
248,Ses03F_impro03_M006,exc
256,Ses03F_impro03_M007,exc
264,Ses03F_impro03_M008,xxx
272,Ses03F_impro03_M009,sur
280,Ses03F_impro03_M010,exc
288,Ses03F_impro03_M011,xxx
296,Ses03F_impro03_M012,xxx
304,Ses03F_impro03_M013,xxx
312,Ses03F_impro03_M014,xxx
320,Ses03F_impro03_M015,hap
328,Ses03F_impro03_M016,xxx
336,Ses03F_impro03_M017,xxx
344,Ses03F_impro03_M018,xxx
352,Ses03F_impro03_M019,xxx
360,Ses03F_impro03_M020,xxx
368,Ses03F_impro03_M021,exc
0,Ses03F_impro04_F000,fru
8,Ses03F_impro04_F001,fru
16,Ses03F_impro04_F002,sad
24,Ses03F_impro04_F003,fru
32,Ses03F_impro04_F004,fru
40,Ses03F_impro04_F005,fru
48,Ses03F_impro04_F006,fru
56,Ses03F_impro04_F007,fru
64,Ses03F_impro04_F008,fru
72,Ses03F_impro04_F009,fru
80,Ses03F_impro04_F010,fru
88,Ses03F_impro04_F011,sur
96,Ses03F_impro04_F012,fru
104,Ses03F_impro04_F013,fru
112,Ses03F_impro04_F014,fru
120,Ses03F_impro04_F015,xxx
128,Ses03F_impro04_F016,xxx
136,Ses03F_impro04_F017,fru
144,Ses03F_impro04_F018,fru
152,Ses03F_impro04_F019,xxx
160,Ses03F_impro04_F020,xxx
168,Ses03F_impro04_F021,fru
176,Ses03F_impro04_F022,sad
184,Ses03F_impro04_F023,sad
192,Ses03F_impro04_F024,sad
200,Ses03F_impro04_F025,xxx
208,Ses03F_impro04_F026,fru
216,Ses03F_impro04_M000,neu
224,Ses03F_impro04_M001,neu
232,Ses03F_impro04_M002,neu
240,Ses03F_impro04_M003,neu
248,Ses03F_impro04_M004,neu
256,Ses03F_impro04_M005,neu
264,Ses03F_impro04_M006,neu
272,Ses03F_impro04_M007,neu
280,Ses03F_impro04_M008,neu
288,Ses03F_impro04_M009,neu
296,Ses03F_impro04_M010,neu
304,Ses03F_impro04_M011,neu
312,Ses03F_impro04_M012,neu
320,Ses03F_impro04_M013,neu
328,Ses03F_impro04_M014,neu
336,Ses03F_impro04_M015,neu
344,Ses03F_impro04_M016,neu
352,Ses03F_impro04_M017,neu
360,Ses03F_impro04_M018,neu
368,Ses03F_impro04_M019,neu
376,Ses03F_impro04_M020,xxx
0,Ses03F_impro05_F000,fru
8,Ses03F_impro05_F001,fru
16,Ses03F_impro05_F002,ang
24,Ses03F_impro05_F003,fru
32,Ses03F_impro05_F004,fru
40,Ses03F_impro05_F005,ang
48,Ses03F_impro05_F006,fru
56,Ses03F_impro05_F007,ang
64,Ses03F_impro05_F008,ang
72,Ses03F_impro05_F009,ang
80,Ses03F_impro05_F010,ang
88,Ses03F_impro05_F011,ang
96,Ses03F_impro05_F012,fru
104,Ses03F_impro05_F013,fru
112,Ses03F_impro05_F014,xxx
120,Ses03F_impro05_F015,ang
128,Ses03F_impro05_F016,ang
136,Ses03F_impro05_F017,ang
144,Ses03F_impro05_M000,fru
152,Ses03F_impro05_M001,fru
160,Ses03F_impro05_M002,fru
168,Ses03F_impro05_M003,neu
176,Ses03F_impro05_M004,fru
184,Ses03F_impro05_M005,fru
192,Ses03F_impro05_M006,fru
200,Ses03F_impro05_M007,xxx
208,Ses03F_impro05_M008,neu
216,Ses03F_impro05_M009,neu
224,Ses03F_impro05_M010,fru
232,Ses03F_impro05_M011,neu
240,Ses03F_impro05_M012,fru
248,Ses03F_impro05_M013,neu
256,Ses03F_impro05_M014,neu
0,Ses03F_impro06_F000,sad
8,Ses03F_impro06_F001,sad
16,Ses03F_impro06_F002,sad
24,Ses03F_impro06_F003,sad
32,Ses03F_impro06_F004,sad
40,Ses03F_impro06_F005,sad
48,Ses03F_impro06_F006,sad
56,Ses03F_impro06_F007,sad
64,Ses03F_impro06_F008,sad
72,Ses03F_impro06_F009,sad
80,Ses03F_impro06_F010,sad
88,Ses03F_impro06_F011,sad
96,Ses03F_impro06_F012,sad
104,Ses03F_impro06_F013,sad
112,Ses03F_impro06_F014,sad
120,Ses03F_impro06_F015,sad
128,Ses03F_impro06_F016,sad
136,Ses03F_impro06_F017,sad
144,Ses03F_impro06_F018,sad
152,Ses03F_impro06_F019,sad
160,Ses03F_impro06_F020,sad
168,Ses03F_impro06_F021,sad
176,Ses03F_impro06_F022,sad
184,Ses03F_impro06_F023,sad
192,Ses03F_impro06_F024,sad
200,Ses03F_impro06_F025,sad
208,Ses03F_impro06_F026,sad
216,Ses03F_impro06_F027,sad
224,Ses03F_impro06_F028,sad
232,Ses03F_impro06_F029,sad
240,Ses03F_impro06_F030,sad
248,Ses03F_impro06_F031,sad
256,Ses03F_impro06_F032,sad
264,Ses03F_impro06_F033,sad
272,Ses03F_impro06_F034,sad
280,Ses03F_impro06_F035,sad
288,Ses03F_impro06_M000,neu
296,Ses03F_impro06_M001,neu
304,Ses03F_impro06_M002,sad
312,Ses03F_impro06_M003,neu
320,Ses03F_impro06_M004,sad
328,Ses03F_impro06_M005,sad
336,Ses03F_impro06_M006,sad
344,Ses03F_impro06_M007,sad
352,Ses03F_impro06_M008,sad
360,Ses03F_impro06_M009,sad
368,Ses03F_impro06_M010,sad
376,Ses03F_impro06_M011,sad
384,Ses03F_impro06_M012,sad
392,Ses03F_impro06_M013,sad
400,Ses03F_impro06_M014,sad
408,Ses03F_impro06_M015,sad
416,Ses03F_impro06_M016,sad
0,Ses03F_impro07_F000,xxx
8,Ses03F_impro07_F001,hap
16,Ses03F_impro07_F002,xxx
24,Ses03F_impro07_F003,sur
32,Ses03F_impro07_F004,hap
40,Ses03F_impro07_F005,hap
48,Ses03F_impro07_F006,xxx
